,headline,body
95,"Bank of Baroda, HDFC cut home loan rates","The state-owned Bank of Baroda and HDFC Limited have lowered interest rates on their home loans marginally. Though these two lenders have reduced rates, other banks may not follow suit at least until April, according to experts. To bring down rates of new customers, Bank of Baroda has lowered the mark-up it charges on the external benchmark. For home loans, the bank was charging a spread of 300 basis points (bps) above the repo rate, which is 5.15% at present. The lowest interest on a home loan was, therefore 8.15%. It has brought down the spread by 15 bps, which is now at 285 bps. New home loan rates start at 8% from 1 March. One basis point is one-hundredth of a percentage point.Bank of Baroda was able to lower the mark-up on the repo rate as its cost of funds came down. “Based on the December data, we reviewed our cost of funds. As it was lower, we passed the benefit to the borrowers. We do this review every quarter,"" said Virendra Kumar Sethi, head, mortgages and other retail assets, Bank of Baroda.On 5 March, HDFC Limited revised its retail prime lending rate by 5 basis points (bps). The lender’s retail prime lending rate is at 16.6%, according to its website. In an intimation to stock exchanged, the housing finance company (HFC) said that the change will be effective 9 March 2020 and benefits all existing retail home loan customers. The lowest home loan rate for HDFC is now at 8%, according to its website.OTHER LENDERS MAY NOT FOLLOWHDFC is one of the biggest lenders in the home loan segment. Bank of Baroda has been aggressively growing its home loan book in recent years. Despite them cutting rates, other lenders may not follow, according to experts. “Most banks have priced their loans aggressively. State Bank of India (SBI), which is the biggest lender in the retail home segment, already has the lowest rate at 7.95%. Interest rates from many other public sector banks are close to it,"" said Gaurav Gupta, co-founder and CEO, MyLoanCare.in.The home loan rates for Bank of India, Canara Bank, Central Bank of India and Punjab National Bank are 8.0%, 8.05%, 8.0% and 7.95% respectively, according to banks’ websites. Among the housing finance companies, HDFC’s home loan rate is the most competitively priced among HFCs.Others agree with Gupta. “As the rates are already aggressive, we are seeing that lenders are giving discounts on processing fees to lure customers. At least until April, we don’t believe there would be any meaningful revision of rates by other lenders,"" said Aditya Mishra, founder and CEO, Switchme.in, a platform that helps borrowers shift their home loans to other financial institutions.STIFF COMPETITIONIn its sixth bi-monthly meeting for FY20 held on 6 February, Reserve Bank of India did not change rates. Instead, the banking regulator introduced long-term repo operations (LTRO) under which banks could receive cheaper long-term funds. It also announced the relaxation of cash reserve ratio (CRR) requirements for home and auto loans and loans to Micro, Small & Medium Enterprises (MSME). These two combined moves are expected to lower the cost of funds for banks, which they are expected to pass on to new as well as old borrowers.Experts say that while this is one of the reasons for banks to lower rates, it’s also due to fierce competition. “Bank of Baroda is matching its lowest rate to that of SBI, which has the most competitive rate in the industry. But as Bank of Baroda is still not a significant player compared to SBI in the home loan segment. The latter, therefore, won’t face any pressure after the rate cut,"" said Gupta.Being an HFC, the case for HDFC is different as RBI’s monetary policy measures do not directly impact it. Besides the cost of funds and other aspects, stiff competition is also one of the factors for keeping the lending rate competitive.It’s the SBI, which sets the trend for the interest rates in the market. Unless the country’s largest bank revises rates downwards, there won’t be any meaningful lowering of interest rates by other lenders."
96,Mindtree hires ex-Accenture honcho Dayapatra Nevatia as COO,"BENGALURU: Leading technology consulting and software services firm Mindtree hired former Accenture executive Dayapatra Nevatia as its Chief Operating Officer(COO), the L&T subsidiary said on Monday. ""Nevatia joins us from global software major Accenture where he was MD (Managing Director) and director of delivery for advanced technology centres in India,"" Mindtree Chief Executive Debashis Chatterjee said in a statement here.In the new role, Nevatia will lead the city-based IT firm in its next phase of growth as an industry veteran.""Nevatia's rich industry experience and track record will be an asset for us to strive for customer-centric growth. His hiring testifies our focus on leadership expansion, worldwide"" said Chatterjee on the occasion.Nevatia, an electronics' engineer with a master's in management, led the delivery for the portfolio, spanning system integration, digital, application outsourcing, infrastructure, and security services across industry groups.Mumbai-based infrastructure construction behemoth Larsen and Toubro (L&T) acquired controlling stake (60.1 per cent) in Mindtree in July 2019 from its co-founder promoters and executives."
97,Coronavirus wipes $50 billion off global exports in February alone: Economists,"United Nations: UN economists announced a likely $50 billion drop in worldwide manufacturing exports in February alone as the extent of the damage to the global economy caused by novel coronavirus COVID-19 moved further into focus. Citing the China Manufacturing Purchasing Manager’s Index (PMI), Pamela Coke-Hamilton, who heads UNCTAD’s Division on International Trade and Commodities, said that it had fallen to 37.5 - a drop of about 20 points – the lowest reading since 2004.“This also correlates directly to exports and also implies a two per cent drop in overall exports,"" she said, with a resulting “ripple effect"" worldwide “to the tune of a $50 billion fall in exports.""Because China has become the main supplier of finished products and so-called “intermediate"" products used in countless industries - from chemical for pharmaceuticals to parts for digital cameras and the car industry - concerns about the long-term disruption to supply chains there, has left many companies around the world “fearful"" that their own output may soon be affected, UNCTAD said.“Of course, if the virus continues to spread and gets out of control, and we see closures not only in China but also in India and the United States and everywhere else in the world, then it would be a big problem,"" said Alessandro Nicita from UNCTAD’s Division on International Trade and Commodities.“Ultimately, the economic impact of this virus depends on the measures that countries apply to contain the virus. So, China has done a great job in containing the virus, but it has sacrificed a little bit the economy, at least in the first few weeks. So, planned closures, restriction to movement of people, which were all necessary; but there is an economic effect when you take those measures.""In addition to the falling manufacturing levels, UNCTAD also highlighted a decrease in the number of container ships leaving Shanghai in the first half of February (from around 300 a week to 180), which then returned to normal levels in the second half of the month.“Right now, the impact on the global value chains is already being felt and will continue probably for a few months,"" Coke-Hamilton said.“But if it rebounds, say in the next few months, then the long-term or year-long impact will be a little different and will be better. So, it depends on what happens in China.""In remarks made at a joint press conference with the head of the World Bank Group, the IMF Managing Director, Kristalina Georgieva, said that the UN-backed global funds would make up the shortfall, in effect, by offering to inject around $50 billion into low-income and emerging market nations, pending requests for support.""Thanks to the generosity of our shareholders, we have about $1 trillion in overall lending capacity,"" she said.""For low-income countries, we have rapid-disbursing emergency financing of up to $10 billion (50 per cent of quota of eligible members) that can be accessed without a full-fledged IMF programme,"" she added.The IMF chief added that members can access emergency financing through the Rapid Financing Instrument.""This facility could provide about $40 billion for emerging markets that could potentially approach us for financial support. We also have the Catastrophe Containment and Relief Trust – the CCRT – which provides eligible countries with up-front grants for relief on IMF debt service falling due.""The CCRT proved to be effective during the 2014 Ebola outbreak, but is now underfunded with just over $200 million available against possible needs of over $1 billion.""She called on member countries ""to help ensure that this facility is fully re-charged and ready for the current crisis"", and said that the Fund was ""fully committed to supporting our member countries, particularly the most vulnerable. We have the tools to help and we are coordinating closely with our partner institutions."" This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
98,Urban India feels financially unprotected says report,"Max life Insurance in partnership with KANTAR, a research company, has released the Indian Protection Quotient (IPQ) survey which shows how prepared urban Indians are to face financial uncertainties. As per the report, Urban India scores 37 on the scale of 0 to 100 and feels that they are underprepared to face the financial uncertainties. IPQ is a composite index which is prepared on the basis of various factors such as attitudes, mental preparedness around future uncertainties, awareness and ownership of life insurance product categories of the people surveyed.The IPQ score has seen an improvement of 2 points from last year. This year was the second addition of the survey.Speaking about the improvement on the IPQ Prashant Tripathy, Managing Director & CEO, Max Life Insurance said, “The survey witnessed a gradual but notable increase in IPQ over the last 12 months. With a movement of 2 points on the Protection Quotient scale from 35 to 37, it indicated that Indians are feeling slightly more protected.We have witnessed substantial increase in both awareness and ownership of life insurance and could be the reason for improvement in IPQ.""The survey also revealed that the awareness and ownership of term plans has improved over the last 12 months.As per the survey, the knowledge index that measures the level of awareness about the life insurance products has increased by 9 points to 48. Across the other insurance products including endowment plan and unit linked insurance plans (ULIPs), term plans saw highest rise in awareness by 1000 basis points (100 basis points is equal to one per cent) to 57% over the past 12 months as per the report. The ownership of term plans increased by 700 basis points to 28%.Talking about how the IPQ can be improved further Tripathy said, “Awareness and ownership are two key drivers of protection quotient and would always precede the increase in IPQ, which is composite index. There has been a significant improvement of 9 points in awareness index and 500 bps increase in life insurance ownership which is very encouraging. At the same time there has been an increase in anxiety about the financial future and I view it as a positive development because anxiety will drive people to action which in turn will result in better financial planning and protection.""The survey further revealed that although term plans saw highest increase in awareness, endowment plans continue to lead with an ownership at 30%.The report further revealed that the millennials have grown more anxious about financial security with their top anxieties being, day to day medical expenses and sustaining lifestyle and expenses with the current earnings. “When compared, women remained more anxious about financial security than men across several parameters. The survey also revealed that Tier II cities focus more on savings than protection and demonstrated a preference of endowment policies over term insurance,"" said the report.The survey is based on the responses of 7,014 people across 25 cities comprising of 6 metros, 9 Tier 1 and 10 Tier 2 cities."
99,Gold prices today fall for the first time in 3 days,"Gold prices in India today fell for the first time in three days as profit-taking and stronger equities hurt the precious metal. However, a weaker rupee capped the fall. Gold futures on MCX fell 0.55% today to  ₹43,330 per 10 gram on profit-taking after the recent rally that took prices closer to record highs. Tracking gold, silver prices also fell 0.6% to  ₹46,402. Gold can see some profit booking at higher levels, says SMC Global, adding that the precious metal can dip towards  ₹43,000 while facing resistance near  ₹43,800 on the higher side. Silver can dip towards  ₹46200 while taking resistance near  ₹46700, the brokerage added.  Gold prices were mostly flat today in global markets today as stronger equities and upbeat US data slightly dented the safe haven appeal of non-yielding assets like bullion. Spot gold was up 0.1% at $1,637.80 per ounce. US services sector activity jumped to a one-year high in February, recent data showed.Among other precious metals, silver rose 0.3% to $17.22 per ounce while platinum was steady at $872.40.The rupee in the previous session breached the 73.5 per dollar mark and some analysts say that it could weaken further. On the other hand, some analysts say that Reserve Bank of India may deploy some of its dollar stockpile to steady the rupee, which has tumbled more than 2% over the past week as more cases of coronavirus were reported in the country.India imports most of its gold requirement and besides the rupee-dollar value, import duty (12.5%) and GST (3%) determines the final price of bullion in the country.Global risk appetite has improved following stimulus announced by some central banks and going forward there is growing expectation of rate cut by some other central bank to limit the economic fallout of virus outbreak, Kotak Securities said.Development relating to virus outbreak may continue to be key price determining factor for commodities, including gold, as it will affect US dollar as well as general risk sentiment, Kotak Securities said in a note. Also in focus will be market reaction to recent easing by central banks along with hopes of further stimulus by other central banks to support growth, the brokerage added.According to the latest data, global coronavirus cases reached 94,410 while death toll rose past 3,200. The global spread of the virus has crushed hopes for stronger growth this year and has pushed investors into safe-haven assets like gold.The latest tranche of sovereign gold bonds will close for subscription on March 6th. The government is issuing these bonds at  ₹4,260 per gram of gold while those investing and making payment online get a discount of  ₹50 per gram.(With Agency Inputs)"
100,"EPF interest rate declaration likely today, five things to watch out for","NEW DELHI :Retirement fund manager, Employees Provident Fund Organization, will likely announce the interest rate on PF deposits of over 60 million active subscribers today. Here are the five things you need to know:EPFO Central Board meeting: The central board of trustees of the EPFO comprising representatives of employees, employers and governments both at the centre and some member states will meet on Thursday to take a call on several issues including the much-awaited interest rate for 2019-20 financial year, changes in investment pattern and way forward on its investments in troubled firms like IF&FS and DHFL.Interest Rate: There has been a constant demand from workers that the EPF interest payout should be higher, more so because of its investments in the stock market via exchange traded fund. But the retirement fund manager is yet to come to a decision on how it wants to pass on stock market investment gains to subscribers. All said, it will be tough for the EPFO this year to offer more than the 8.65% rate it offered in 2018-19. There is a good possibility that 2019-20 returns may be lower than last fiscal’s by 15-25 basis points.In 2018-19 the EPF paid a rate of 8.65%, 10 basis point more than 2017-18. In 2016-17 it was at 8.55%, the same as 2017-18, while in 2015-16 it had offered 8.8% as rate of interest to its subscribers.What may hold back EPFO to pay more?The retirement body invests 15% in equity market and 85% in debt instruments. The falling rate cycle in the debt investments would have hampered its income in 2019-20. For example, some long term fixed deposits and bond yields fell 50-90 basis points in 2019, as per EPFO estimates. Besides, last year, after an 8.65% payout ahead of the general elections, EPFO was left with a surplus of little over  ₹150 crore, much below the levels maintained earlier. In 2017-18, the surplus was at  ₹586 crore.What about increasing the minimum statutory pension for EPF subscribers?Though the demand for increasing minimum pension has been on the table for years, the EPFO has hesitated to raise it. An internal committee of the labour ministry has favoured doubling the minimum pension amount to  ₹2000 from  ₹1000 now, but neither the EPFO nor its controlling labour ministry can take a call on hiking the pension without a go-ahead from the finance ministry. A minimum statutory pension hike will cost the central government an extra Rs2500 crore-Rs4000 crore per year.Investment pattern: The EPFO central board is likely to approve a plan to allow the fund manager to formally invest in debt ETFs. When EPFO started investing in the stock market through ETFs, there were no provisions for debt ETFs but now the situation has changed, with the finance ministry also in favor of the move."
101,Apple warns stores about shortage of replacement iPhones,"Apple Inc. warned retail employees about shortages of replacement iPhones, another sign the coronavirus outbreak is straining the company’s supply chain. The company recently told technical support staff at stores that replacement iPhones for heavily damaged devices will be in short supply for as long as two to four weeks, according to Apple Store employees.The workers, known as Geniuses, were advised in a memo that they can offer to mail replacement iPhones to customers and provide loaner devices to ease delays.Some Apple stores have also noticed a shortage of individual parts, according to the employees, who asked not to be identified discussing private information. An Apple spokesman did not respond to requests for comment.When a user brings in a damaged iPhone to an Apple store, the company can replaces individual parts such as the screen or camera. If the device is beyond repair, the company often provides a replacement phone rather than a brand new model.The dearth of iPhone repair parts is one of the first visible effects from the virus on Apple’s operations. The company has begun to see shortages for the iPad Pro, Bloomberg News reported recently, while the supply of the iPhone 11 has begun to slightly tighten internationally. The Cupertino, California-based technology giant has also restricted employee travel to China, South Korea, and Italy, and has encouraged sick employees take leave. It’s also asking employees to have meetings virtually.Apple is also rapidly re-opening its stores in China after being forced to temporarily shut all 42 of the locations due to the virus. The company has opened 38 stores as of Wednesday, according to a review of its retail website.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
102,Goa tourism: Special stickers to save tourists from harassment by traffic police,"PANAJI :To prevent tourists driving in Goa from being harassed by traffic cops, incoming vehicles will be provided with a special sticker at the state's borders, which will indicate that all vehicle documents are in order, Tourism Minister Manohar Ajgaonkar said on Wednesday. ""Tourists are being harassed by traffic policemen, who randomly stop them and impose fines. Tourists should not be harassed. Those who are wearing helmets on two-wheelers should not be stopped,"" Ajgaonkar told reporters in Panaji.""If someone is drunk, or has violated rules, the police can act against them. But tourists cannot just be randomly stopped and harassed. From now on, documents of cars not registered in Goa will be checked at border entry points and given a sticker to be stuck on the screen,"" the Tourism Minister said.The sticker, Ajgaonkar said, will be an indication to the traffic police, that all documents of the vehicle are in order and the tourists need not be stopped by local traffic police for document verification.The issue of harassment of tourists has been discussed on several occasions by ruling and opposition MLAs in the state assembly in the recent years.In 2019, Goa attracted more than seven million tourists.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
103,"Samsung Galaxy M31 to go on first sale today: Offers, specifications","New Delhi: Samsung will be selling the Galaxy M31 for the first time today. The device is placed in the mid-range segment and will try to compete with Xiaomi's popular Redmi Note line-up and Realme XT. The Samsung Galaxy M31 will be available on Amazon India website, official Samsung online and offline stores. The Galaxy M31 will be available in two variants. The 4GB/64GB variant is priced at  ₹14,999 and the 6GB/128GB variant is priced at  ₹15,999. Samsung claims that these prices are after a discount of  ₹1000. The original price of the 4GB/64GB variant is  ₹15,999 whereas the 6GB/128GB is originally priced at  ₹16,999. The sale will go live at 12PM. The buyer can choose between two colours, Ocean Blue and Space Black.The Galaxy M31 houses a quad camera setup which features a 64MP module as the primary lens. Samsung has used pixel binning technology that essentially produces sharp 16MP images using the primary lens. This, the company claims, will produce clearer but less memory-consuming images.The camera setup also comprises one 8MP wide-angle camera, one 5MP macro lens and a 5MP depth sensor. The front camera is a 16MP unit that is housed in a water-drop notch. The screen is a 6.4-inch unit that has a FHD+ SuperAMOLED display with an aspect ratio of 19.5:9.Samsung Galaxy M31 features a massive 6000mAh battery that gets 15W charging through a USB Type C port. The back panel also features a capacitive fingerprint sensor. The phone also gets Bluetooth 5.0 and a 3.5mm headphone jack.For performance, Samsung has used the Exynos 9611 chipset which is paired with 4GB or 6GB RAM.Xiaomi will be launching a competitor to the Galaxy M31 on March 12. The Chinese company will be conducting an online-only launch event citing the growing threat of coronavirus. The next generation of Redmi Note smartphones will be unveiled at the event. Redmi Note 9 and Redmi Note 9 Pro will also be priced under  ₹20,000."
104,Coronavirus has no impact on Goa tourism,"PANAJI :Goa's heat and humidity are detrimental to spread of coronavirus, according to Ports Minister Michael Lobo. Tourist arrivals had increased after the outbreak, he said here on Wednesday. ""Right now we are doing better than before, because people can't travel to Thailand, China, Italy and other destinations. They are coming to Goa pushing the number of Indian tourists up,"" Lobo said.Lobo, MLA from the Calangute constituency, home to some of the most popular beaches in the state, said, ""We have seen rise in the number of foreign tourists too. They can't travel to those countries. They are travelling to India and coming to Goa too"".Lobo said this when the Goa travel and tourism industry had expressed worry about dip in arrivals after the global coronavirus scare.As far as Goa was concerned, he said it was safe. ""With this weather, I don't think the virus can spread,"" he said and added, nothing would stop tourists from coming here.Goa, top beach and nightlife tourism destinations in the country, received more than seven million tourists last year. Nearly half a million of them were foreigners.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
105,World's first pet dog infected with coronavirus,"New Delhi: A media report is doing the rounds on social media which stated that a pomeranian has been diagnosed with coronavirus after getting infected by its owner in Hong Kong. The post was shared on Twitter by one of the leading media outlets in China with the caption, ""World's 1st pet dog infected with #COVID19 has been confirmed in #HongKong, a Pomeranian tested 'weak positive' three times, local health official said Wed, raising concerns of human-to-animal transmission.""The authorities have quarantined the pet dog after its nasal and oral samples tested ""weak positive"" three times for the virus, a media report said.As the news came out in the public domain, social media was abuzz with reactions. A user wrote, ""I have a hard time believing this. Where is the evidence?""Another wrote, ""Could be a carrier only, transmission is unknown from what I've read so far.""A post read, ""Dogs have the vaccine.""""Don't get rid of your pets, people! They are family! If you are really worried, just give their paws a quick wipe after walking or something,"" a user remarked.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
106,Coronavirus: No shutdown in Hyderabad IT hub,"HYDERABAD :Dismissing rumours of IT industry in Hyderabad shutting down amid coronavirus scare as ""completely false"", Principal Secretary IT and Industries Jayesh Ranjan on Wednesday urged people not to believe in ""such rumours"". Speaking to ANI, Ranjan said, ""We have called a meeting here at Cyberabad Commissionerate following rumours that the IT industry in Hyderabad is shutting down due to the outbreak of COVID-19 and holidays have been granted to the IT employees, which is completely false.""""Health Department officials, IT employees and police officials participated in the meeting. We have asked IT employees and their heads to not believe in any kind of rumours,"" he added.The Principal Secretary's clarification came after panic gripped the industry following a rumour that IT-related Mindspace building was vacated after a woman techie was suspected of having COVID-19.""The woman techie who was suspected, went to Italy a few days ago and worked there for three weeks. She later came back to Hyderabad. Since the last two to three days she has been suffering from flu symptoms, so she was tested for COVID-19 yesterday at Gandhi Hospital. However, since the reports were not clear, her samples have been sent to National Institute of Virology (NIV) Pune. Her report is pending and details will be known tomorrow,"" said Ranjan.He further said that if anyone working in the IT companies test positive for COVID-19, they will have to undergo treatment and colleagues who were close to that patient should be isolated at their residences. Shutting down the company temporarily or sending the employees back would not be good.""Other employees in that office can continue with their work. Shutting down the company temporarily or sending the employees back is not good,"" he added.Meanwhile, VC Sajjanar, Commissioner of Police, Cyberabad Commissionerate told ANI that people who are spreading fake news would be booked under criminal cases and action will be taken against them.""There was a lot of panic among the people that the entire Mindspace has been shut down which consists of 21 buildings but actually it was only one building. Because that lady had returned from Italy and worked there so to sanitise that area the building was closed. The sanitisation has been done today so from tomorrow all the employees will return,"" said Sajjanar.""There is no need to panic, I request all the IT employees and the public not to spread fake news. Today a lot of fake news was circulated due to this issue. A lot of people tweeted from their individual accounts and we are trying to identify them,"" he added.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
107,Flipkart co-founder Sachin Bansal's wife alleges dowry harassment,"NEW DELHI :A dowry harassment case has been filed against Flipkart co-founder and one of the most storied Indian entrepreneurs Sachin Bansal, by his wife Priya Bansal. A first information report (FIR) was filed on 28 February at Koramangala police station in Bengaluru against Sachin Bansal, father Sat Prakash Agarwal, bother Nitin Bansal and mother Kiran Bansal for demanding ""dowry"" and gifts at the time of the wedding.Priya Bansal, the complainant, has alleged that her father had spent  ₹50 lakh on the wedding and had given Sachin  ₹11 lakh in cash instead of a car. She also alleged that her husband was pressurising her to transfer properties in her name to him, and after she refused to do so, she was harassed by her in-laws.The complainant also alleged physical and sexual assault charges on the accused.“Post wedding, it was decided that it I will stay with my husband. Before the wedding, in-laws visited my home and asked for more dowry. My husband and in-laws have been giving me mental and physical torture since the wedding for dowry. When my sister (name withheld) was in Delhi, Sachin had sexually assaulted her. Sachin had tried to transfer all properties in my name to his name and when I refused, Sachin had physically assaulted me on 20 October 2019. I have been tortured mentally and physically by in-laws for dowry,"" Priya Bansal alleged in the FIR.The police may soon call Sachin Bansal for the investigation.""We are yet to interrogate the family since they are out of station and the investigation is on. Cannot reveal more info on investigation. Case has been registered under 498(a) (husband's family inflicting cruelty and driving victim to suicide or cause grave injury ) and 314 DP act,"" a police official said."
108,Facebook employee in US diagnosed with coronavirus,"Facebook Inc. said an employee in Seattle has been diagnosed with coronavirus, the first known infection within the company as the virus continues to spread in the region. The employee, a contractor, was last in Facebook’s Stadium East office in Seattle on February 21. The company alerted employees Wednesday night and said the Seattle office will be closed to all employees until March 9. Employees in Seattle are also being encouraged to work from home until the end of the month.“A contractor based in our Stadium East office has been diagnosed with the COVID-19,"" a company spokesperson said in a statement. “We’ve notified our employees and are following the advice of public health officials to prioritize everyone’s health and safety.""This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
109,"Obama on coronavirus: Skip the masks, stay calm","Washington: Former US president Barack Obama called Wednesday for people to take ""common sense precautions"" over the coronavirus outbreak -- advising them to follow hand-washing guidelines but not to wear masks. ""Save the masks for health care workers. Let's stay calm, listen to the experts, and follow the science,"" tweeted Obama, who has kept a low public profile since leaving office in 2017.Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when sick and listen to the @CDCgov and local health authorities. Save the masks for health care workers. Let’s stay calm, listen to the experts, and follow the science.— Barack Obama (@BarackObama) March 4, 2020 He said people should keep track of updates from the Centers for Disease Control and Prevention (CDC) -- and stay home if they are sick.The World Health Organization has said masks, goggles and other protective equipment used by health workers were in short supply due to ""rising demand, hoarding and misuse.""The death toll in the US from the virus rose to 11 on Wednesday, as lawmakers in Congress reached a deal to provide more than USD 8 billion to fight the outbreak.Nationwide, more than 130 people have so far been infected, with the virus detected in more than a dozen states. "
110,India firms up battle plan to counter Coronavirus outbreak,"NEW DELHI :With countries around the globe struggling to contain the Coronavirus outbreak, India’ playbook involves a ‘mitigation plan’,given the threat of contagion turning into a pandemic. The plan will be shared with all states and union territories. To help limit the contagion spread across the world’ second most populous country, the government may also close the Kartarpur and Wagah borders. The Bureau of Immigration is expected to provide Indian addresses and phone numbers of passengers.Given that Iran has emerged as a hotspot of these infections, the Indian government is also putting in place a Persian Gulf nation specific plan. The game plan is to follow the standard operating procedures adopted post the Influenza 2009 H1N1 (swine flu) pandemic.The strategy also involves roping in Employees' State Insurance Corporation (ESIC), defense, railways and paramilitary personnel, and readying quarantine facilities for around 4396 people across Border Security Force (BSF), Central Reserve Police Force (CRPF), Indo-Tibetan Border Police (ITBP), National Security Guard (NSG), Army, Air force and Navy camps.The number of Covid-19 cases in India shot up to 29 after a clutch of Italian tourists in Jaipur tested positive, while health authorities on Wednesday reported a burgeoning trail after contact-tracing two previous patients.With the rapidly spreading COVID-19 virus and India’s compromised healthcare infrastructure, New Delhi is preparing itself to face the “once-in-a-century pathogen"" as termed by Bill Gates. The fears are not unfounded given that a parliamentary committee on health had earlier noted that progress has been slow for infrastructure development for health research and setting up a nationwide network of laboratories for managing epidemics and national calamities.""Today everyone is talking about the Corona Virus. There is no denial on this fact that it’s a public health issue. We are doing as much as possible to prevention and control of this disease. This is also giving us time to reflect what we are doing on other diseases which are having great public health importance,"" added Dr. Biplab Jamatia, a New Delhi based public health expert.According to government documents reviewed by Mint, India' preparations range from roping in Employees' State Insurance Corporation (ESIC), defence, railways, and paramilitary force personnel and training them, to steel ministry run hospitals being primed up to mount a response.India’s health secretary Preeti Sudan has also deputed all the 13 joint secretaries in her ministry to assess the preparedness of respective states and union territories. A national level training of trainer (ToT) workshop is also being held on Friday by the ministry of health and family welfare along with the World Health Organisation (WHO) that will see participation from all states and union territories. The strategy for the second phase involves holding a state level workshop in the in the second week of March followed by district level and hospital level training.“Currently, India has ample medicines and PPE stocks. Yet, we have already doubled up our demand for masks and sanitizers considering the evolving situation in India. Currently government is taking all possible steps to contain the infection and tracing all contacts of the positive cases. In case the situation worsens, we will need to further expand the health infrastructure to handle it,"" said Randeep Guleria, Director, All India Institute of Medical Sciences (AIIMS)Now being compared to the WHO’s “disease X,"" the contagion has raised serious doubts about an already slowing global growth and disintegration of supply chains. At least 78 countries have been affected by Covid-19. The Indian government has cautioned that people should avoid non-essential travel to China, Iran, South Korea, Italy, Japan and other affected countries.India’s health minister Harsh Vardhan on Wednesday said that the government may try to evacuate Indians stranded in Iran’s capital Teheran, where 2,336 people have been infected and 77 have died from the disease. There are at least 300 Indians in the Iranian capital, mostly students and pilgrims.An Indian Council of Medical Research representative has reached Iran along with reagents used necessary for the chemical analysis of the virus. This involves testing and quarantine of passengers from Iran before they depart for India.India was among Iran’s top oil customers until President Donald Trump pulled the US out of a historic 2015 accord with energy-rich nation, which was inked to curb the Islamic Republic’s nuclear programme in return for ending sanctions.While WHO’s Iran office has been roped in by the Indian embassy there for better coordination, the government will shortly take a decision for the locations of quarantine for evacuees from Iran.Presently, the ITBP has set up a 600-bed facility in Delhi's Chhawla area to quarantine coronavirus patient, while the Army has also set up a similar unit in Manesar near Gurugram.The quarantine facilities for 4396 people is being prepared at Central Armed Police Forces’ camps of BSF’ subsidiary training centres at Jodhpur, Bengaluru, Siliguri. In addition, the plans are to accommodate these people at CRPF’ centres at Pinjore, Guwahati, Kolkata, Odisha, Jammu and Delhi. The other locations include the NSG camp at Hyderabad, and Army, Airforce and Navy facilities across New Delhi, Kolkata, Hyderabad, Chennai, Bangalore, Mumbai and Jaiselmar.Given India’s porous borders with Nepal, eight central teams have visited districts adjoining Nepal border and reviewed border crossings and adjoining villages. Also, around 3360 Gram Sabha meetings have been conducted in 21 bordering districts in five states.In addition to network of 15 labs, 35 more labs are being brought online for testing the suspected patients. Besides reagents to test up to 25000 samples that is available, additional reagents for testing 30000--50000 samples are also being procured.Also to prevent any shortage of personal protective equipment (PPE) kits necessary for healthcare workers, an additional procurement is being done for 1.5 lakh PPE kits and 3 lakh N-95 masks. Domestic manufacturers have also been identified for churning out coveralls with a combined capacity of 30,000 coveralls per week. There is a central inventory available of 50,000 of PPE kits and 2 lakh N-95masks.This comes in the backdrop of a WHO warning about severe and mounting disruption to the global supply of PPE caused by rising demand, panic buying, hoarding and misuse is putting lives at risk from the new coronavirus and other infectious diseases. WHO has given a call for increasing manufacturing by 40%.“Since the start of the COVID-19 outbreak, prices have surged. Surgical masks have seen a sixfold increase, N95 respirators have trebled and gowns have doubled,"" WHO said in a statement and added, “Supplies can take months to deliver and market manipulation is widespread, with stocks frequently sold to the highest bidder."""
